city,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
szczecin,46.73,2.0,4.0,11.0,1980.0,53.3980728,14.5247091,3.7,6.0,0.134,1.176,0.071,0.115,0.024,2.463,0.076,condominium,no,no,yes,no,yes,449000
szczecin,47.1,2.0,,4.0,1980.0,53.3944303,14.5216343,4.14,3.0,0.544,1.623,0.491,0.494,0.469,2.901,0.502,condominium,no,no,,no,no,450000
szczecin,70.18,3.0,2.0,4.0,2017.0,53.418611,14.549722,0.92,11.0,0.371,0.319,0.225,0.63,0.323,1.208,0.359,condominium,no,yes,yes,no,yes,769000
szczecin,62.4,4.0,3.0,4.0,1976.0,53.4583785,14.5328094,4.31,8.0,0.38,0.416,0.3,0.374,0.289,1.792,0.379,cooperative,yes,yes,no,no,yes,485000
szczecin,80.3,4.0,4.0,4.0,1998.0,53.4404729,14.4900039,5.07,7.0,0.657,1.087,0.097,0.289,0.072,2.707,0.107,cooperative,no,no,,no,no,835000
szczecin,59.7,3.0,4.0,8.0,1970.0,53.4311682,14.5038346,3.88,9.0,0.285,1.079,0.299,0.415,0.314,1.931,0.344,cooperative,no,yes,yes,no,yes,565000
szczecin,100.0,3.0,4.0,5.0,,53.40235753,14.52497392,3.34,12.0,0.33,0.723,0.478,0.272,0.212,1.992,0.328,condominium,no,no,no,no,no,575000
szczecin,28.2,1.0,5.0,6.0,2012.0,53.4225,14.5406,1.35,19.0,0.124,0.64,0.147,0.487,0.151,0.666,0.121,condominium,yes,no,yes,no,no,440000
szczecin,48.08,3.0,1.0,1.0,,53.4748538,14.5827284,5.9,0.0,1.077,0.932,1.491,0.818,0.979,1.383,1.088,condominium,yes,no,,no,no,390000
szczecin,90.44,4.0,8.0,8.0,2020.0,53.4580702,14.5429308,4.04,5.0,0.483,0.757,0.581,0.435,0.358,1.929,0.477,condominium,yes,yes,yes,no,no,1200000
szczecin,37.0,2.0,6.0,10.0,1970.0,53.4285743,14.5525716,0.8,66.0,0.294,0.272,0.263,0.241,0.081,0.608,0.097,cooperative,no,yes,yes,no,yes,459000
szczecin,80.73,4.0,,3.0,1930.0,53.4419693,14.5285865,2.98,10.0,0.085,0.431,1.032,0.467,0.059,0.149,0.071,condominium,no,no,no,no,yes,799000
szczecin,88.0,3.0,3.0,3.0,1998.0,53.43973283,14.49954987,4.46,5.0,0.021,0.519,0.388,0.35,0.365,2.087,0.365,cooperative,no,yes,no,no,no,820000
szczecin,77.71,3.0,3.0,3.0,1925.0,53.4330962,14.5686108,1.19,9.0,0.577,0.918,0.288,0.308,0.135,0.621,0.422,condominium,no,no,no,no,yes,599000
szczecin,105.0,4.0,3.0,4.0,2016.0,53.4274747,14.4872832,4.9,5.0,0.622,0.528,0.217,0.451,0.631,3.057,0.435,condominium,no,yes,yes,no,no,1199999
